Company,Extract,Key Word,Context Word,CSE,Category
Reliance/Jio,Reliance / Jio access... Business Mentorship Personalised and outcome oriented advisory for each startup... JioGenNext MAP’22 JioGenNext launched MAP’22 in FY 2022-23 with seven high potential startups.,startups,mentorship,Yes,Mentoring
Merck & Co,Merck Global Health Innovation Fund (MGHIF) is a growth investor partnering with innovative digital health and data science companies that facilitate and optimize biopharmaceutical operations with the goal of improving patient care.,x,x,Yes,Venture Capital Fund
Tata Consultancy Services,"DISQ Case Study Vesatogo Innovations is a Nashik-based agritech startup conceptualized in 2019 by DISQ Changemakers who were passionate about reimagining the agrarian landscape. Their solution, conceptualized and designed at TCS’ Digital Impact Square (DISQ), provides mobile and web-based seed to-plate supply chain management tools to reduce operating costs for farmer producer organizations and agribusinesses, and enable small farmers to have better market linkages. It was awarded the National Startup Award 2021 in the Rural Impact category and was amongst the selected 175 startups across country to interact with the Honourable Prime Minister Narendra Modi.",startup,x,Yes,Technical Services
Reliance/Jio,JioMart’s reach has also helped vendors widen distribution and expand market share... The platform provides MSME vendors with a sustainable growth platform... Shramik Naari initiative offers women entrepreneurs a platform.,Entrepreneurs,x,Yes,Distributor Access
Reliance Industries,"Reliance Retail aims to expand its products and services portfolio to offer a diverse range of options to a growing customer base particularly in rural and underserved areas of India. The Company plans to form strategic partnerships with small producers and MSMEs and invest in design, value, service, and experience to expand its product and service offerings.",SME,Partnership,Yes,Supplier Access
State Bank of India,SBI Youth for India is a 13-month rural development fellowship programme which provides a framework for bright young minds from urban areas to join hands with rural communities in their struggles and aspirations...The programme also collaborated with Dastkar for their Winter Bazaar in Delhi and Bangalore in December 2022 and provided a platform for YFI alumni entrepreneurs to showcase their work at the exhibition.,entrepreneurs,x,Yes,Startup Programs
L&T,"The Retail portfolio grew 35% during the year through growth led by flagship products – Farm Equipment Finance, Two-Wheeler Finance and Micro-Loans; high growth in mature products such as Home Loans as well as a pick-up in new products such as Consumer Loans and SME loans",SME,x,Yes,Microcredit
Reliance Industries,"JioMart has onboarded artisans, weavers, and micro-entrepreneurs, providing them with extensive support to them on various aspects like imaging, cataloguing, and market intelligence to help them grow their business.",micro-entrepreneurs,x,Yes,Business Services
Tata Consultancy Services,"BridgeIT program is helping marginalized youth turn into digital entrepreneurs and earn well, providing essential lastmile services for 1,736 villages in rural India",Entrepreneurs,x,Yes,Startup Programs
Merck & Co,"the Company recognizes alliance revenue related to sales of Lynparza (olaparib), an oral poly (ADP-ribose) polymerase (PARP) inhibitor, for certain types of advanced or recurrent ovarian, early or metastatic breast, metastatic pancreatic, and metastatic castration-resistant prostate cancers; alliance revenue related to sales of Lenvima (lenvatinib), an oral receptor tyrosine kinase inhibitor, for certain types of thyroid cancer, RCC, HCC, in combination with everolimus for certain patients with advanced RCC, and in combination with Keytruda for certain patients with advanced endometrial carcinoma or advanced RCC; and alliance revenue related to Reblozyl (luspatercept-aamt) for the treatment of certain types of anemia",x,x,No,x
Tata Consultancy Services,"The company continues to invest in co-innovation hubs, launching TCS Pace Ports™ in major markets. TCS teams use these physical spaces to work with academic and start-up partners, ideate jointly with client teams and rapidly build prototypes. The Pace Ports at Pittsburgh in the US, in the Carnegie Mellon University campus, and the other in Toronto, Canada, were formally inaugurated this year. Including the ones in Tokyo, New York and Amsterdam, the company has five Pace Ports in all.",Start-up,x,Yes,Co-working space
Reliance/Jio,JioGenNext RIL backed startup accelerator to encourage support and enable ventures that solve new age challenges.,startup,Accelerator,Yes,Accelerator
Tata Consultancy Services,"DISQ offers innovators extensive mentoring, access to ecosystems specific to their challenges, and a seed fund for investment in creating their innovation and start-up, along with physical infrastructure that fosters out-of-the-box thinking and a supportive ecosystem with domain partners for validation. Modeled around DISQ, Petronas and TCS in Malaysia, recently launched SEEd.Lab - a one-of-its-kind social enterprise innovation hub which targets youth unemployment. It promotes self-sustaining enterprises that forge solutions to the challenges faced in their communities by leveraging technology and innovation",start-up,ecosystem,Yes,"Mentoring, Accelerator, Investment"
Reliance/Jio,JioGenNext RIL backed startup accelerator to encourage support and enable ventures that solve new age challenges.,startups,Accelerator,Yes,Accelerator
Tata Consultancy Services,"Launched the TCS Mobility Cloud Suite, a rich toolbox of cloud-enabled software to help automotive manufacturers and suppliers innovate, adapt, and thrive. It includes ready-to-deploy automotive-specific digital frameworks, custom solutions, accelerators, and use cases that enable automakers and their solution providers to embrace digital technologies and new business models across the entire mobility value chain",Accelerators,x,Yes,Technical Services
L&T,"In line with the energy transition and sustainability requirements, the business formed a Technology Task Force (TTF) to identify, incubate and implement new technology opportunities to make the organisation resilient. The TTF has finalised a few focus areas like Coal Gasification and Integrated Gasification Combine Cycle (IGCC), Small Modular Reactors, Carbon Capture Technology, Biofuel / Ammonia / Methanol firing in Supercritical Power Boilers and Flexibilisation in Coal-based power plants.",incubate,x,Yes,Incubator
State Bank of India,Your Bank has taken several initiatives to build a quality SME portfolio in a risk-mitigated manner and has implemented significant changes to ensure ease of banking.,SME,x,No,x
L&T,"L&T's SARAL Samudaay project in Vadodara empowers women by offering skill-building interventions in stitching, beauty, wellness, and life skills. The programme aims to promote their financial independence and encourage them to start small businesses such as paper bowl making and poultry farming. Additionally, it aims to create systemic changes by promoting entrepreneurship, digital and financial awareness, and interaction with the community, market, and state bodies.",Small businesses,x,Yes,Startup Programs
ICBC,"The Bank specially strengthened financing support for manufacturing M&A transactions, focusing on key areas such as the reform of state-owned enterprises, capital market, industrial integration, and the Belt and Road initiative. It built an intelligent marketing system, strengthened the services for key customers such as listed companies, and continued to maintain a leading position in terms of the market share of M&A financing at home and abroad. By number of M&A deals led by the Bank, the Bank ranked first in China in Refinitiv’s ranking of Any Chinese Investment Completed and first in the ranking of China Outbound Announced M&A. (Page 41)",M&A,x,No,x
